Everybody matched with top 8 preferences:
m285: matched to w110 (rank 1)
m286: matched to w123 (rank 3)
m287: matched to w419 (rank 3)
m288: matched to w117 (rank 1)
m289: matched to w125 (rank 3)
m290: matched to w739 (rank 1)
m291: matched to w99 (rank 1)
m292: matched to w625 (rank 2)
m293: matched to w836 (rank 1)
m294: matched to w797 (rank 3)
m295: matched to w205 (rank 1)
m296: matched to w884 (rank 2)
m297: matched to w878 (rank 1)
m298: matched to w442 (rank 3)
m299: matched to w40 (rank 1)
m300: matched to w64 (rank 2)
m301: matched to w216 (rank 2)
m302: matched to w346 (rank 1)
m303: matched to w253 (rank 5)
m304: matched to w806 (rank 1)
m305: matched to w358 (rank 1)
m306: matched to w403 (rank 1)
m307: matched to w706 (rank 4)
m308: matched to w101 (rank 1)
m309: matched to w621 (rank 2)
m310: matched to w900 (rank 3)
m311: matched to w475 (rank 1)
m312: matched to w615 (rank 2)
m313: matched to w374 (rank 2)
m314: matched to w4 (rank 1)
m315: matched to w660 (rank 2)
m316: matched to w928 (rank 2)
m317: matched to w162 (rank 1)
m318: matched to w587 (rank 3)
m319: matched to w430 (rank 1)
m320: matched to w763 (rank 4)
m321: matched to w350 (rank 1)
m322: matched to w562 (rank 2)
m323: matched to w735 (rank 3)
m324: matched to w213 (rank 1)
m325: matched to w341 (rank 1)
m326: matched to w149 (rank 2)
m327: matched to w645 (rank 2)
m328: matched to w658 (rank 1)
m329: matched to w526 (rank 2)
m330: matched to w109 (rank 2)
m331: matched to w538 (rank 4)
m332: matched to w50 (rank 3)
m333: matched to w755 (rank 1)
m334: matched to w624 (rank 3)
m335: matched to w912 (rank 3)
m336: matched to w236 (rank 1)
m337: matched to w972 (rank 1)
m338: matched to w1 (rank 3)
m339: matched to w511 (rank 3)
m340: matched to w315 (rank 2)
m341: matched to w998 (rank 2)
m342: matched to w197 (rank 3)
m343: matched to w85 (rank 2)
m344: matched to w145 (rank 1)
m345: matched to w323 (rank 4)
m346: matched to w447 (rank 1)
m347: matched to w899 (rank 1)
m348: matched to w743 (rank 1)
m349: matched to w256 (rank 1)
m350: matched to w588 (rank 1)
m351: matched to w8 (rank 1)
m352: matched to w517 (rank 2)
m353: matched to w91 (rank 5)
m354: matched to w781 (rank 2)
m355: matched to w194 (rank 2)
m356: matched to w156 (rank 1)
m357: matched to w748 (rank 1)
m358: matched to w685 (rank 2)
m359: matched to w167 (rank 1)
m360: matched to w993 (rank 1)
m361: matched to w38 (rank 2)
m362: matched to w709 (rank 2)
m363: matched to w106 (rank 5)
m364: matched to w563 (rank 3)
m365: matched to w904 (rank 1)
m366: matched to w131 (rank 2)
m367: matched to w294 (rank 2)
m368: matched to w486 (rank 2)
m369: matched to w333 (rank 2)
m370: matched to w738 (rank 2)
m371: matched to w697 (rank 2)
m372: matched to w87 (rank 2)
m373: matched to w979 (rank 1)
m374: matched to w307 (rank 2)
m375: matched to w198 (rank 1)
m376: matched to w830 (rank 2)
m377: matched to w303 (rank 4)
m378: matched to w82 (rank 3)
m379: matched to w811 (rank 3)
m380: matched to w664 (rank 1)
m381: matched to w281 (rank 1)
m382: matched to w845 (rank 1)
m383: matched to w803 (rank 1)
m384: matched to w185 (rank 2)
m385: matched to w172 (rank 2)
m386: matched to w740 (rank 2)
m387: matched to w507 (rank 1)
m388: matched to w651 (rank 1)
m389: matched to w842 (rank 1)
m390: matched to w477 (rank 1)
m391: matched to w701 (rank 3)
m392: matched to w468 (rank 2)
m393: matched to w492 (rank 2)
m394: matched to w120 (rank 2)
m395: matched to w402 (rank 1)
m396: matched to w2 (rank 1)
m397: matched to w19 (rank 1)
m398: matched to w821 (rank 1)
m399: matched to w506 (rank 3)
m400: matched to w142 (rank 5)
m401: matched to w712 (rank 5)
m402: matched to w913 (rank 1)
m403: matched to w67 (rank 1)
m404: matched to w489 (rank 3)
m405: matched to w780 (rank 1)
m406: matched to w136 (rank 1)
m407: matched to w726 (rank 3)
m408: matched to w53 (rank 4)
m409: matched to w10 (rank 2)
m410: matched to w746 (rank 4)
m411: matched to w918 (rank 3)
m412: matched to w891 (rank 2)
m413: matched to w159 (rank 1)
m414: matched to w561 (rank 1)
m415: matched to w212 (rank 1)
m416: matched to w228 (rank 3)
m417: matched to w970 (rank 5)
m418: matched to w626 (rank 3)
m419: matched to w502 (rank 1)
m420: matched to w469 (rank 1)
m421: matched to w686 (rank 2)
m422: matched to w964 (rank 1)
m423: matched to w301 (rank 1)
m424: matched to w227 (rank 1)
m425: matched to w286 (rank 2)
m426: matched to w802 (rank 2)
m427: matched to w49 (rank 3)
m428: matched to w847 (rank 1)
m429: matched to w510 (rank 2)
m430: matched to w54 (rank 1)
m431: matched to w873 (rank 1)
m432: matched to w5 (rank 1)
m433: matched to w16 (rank 2)
m434: matched to w13 (rank 4)
m435: matched to w200 (rank 2)
m436: matched to w750 (rank 2)
m437: matched to w611 (rank 4)
m438: matched to w498 (rank 1)
